sample
SRR28821435
SRR28821438
SRR28821440
SRR28821443
SRR28821447
SRR28821449
SRR28821451
SRR28821453
SRR28821458
SRR28821459
SRR28821466
SRR28821468
SRR28821470
SRR28821482
SRR28821486
SRR28821487
SRR28821496
SRR28821506
SRR28821509
SRR28821510
SRR28821513
SRR28821518
SRR28821519
SRR28821521
SRR28821522
SRR28821523
SRR28821527
SRR28821529
SRR28821534
SRR28821537
SRR28821538
SRR28821548
SRR28821550
SRR28821552
SRR28821554
SRR28821556
SRR28821564
SRR28821565
SRR28821566
SRR28821567
SRR28821568
SRR28821569
SRR28821577
SRR28821582
SRR28821583
SRR28821588
SRR28821599
SRR28821601
SRR28821602
SRR28821603
SRR28821608
SRR28821611
SRR28821612
SRR28821613
SRR28821614
SRR28821615
SRR28821619
SRR28821621
SRR28821625
SRR28821627
SRR28821631
SRR28821634
SRR28821636
SRR28821637
SRR28821642
SRR28821644
SRR28821646
SRR28821650
SRR28821653
SRR28821660
SRR28821664
SRR28821669
SRR28821670
SRR28821672
SRR28821674
SRR28821678
SRR28821682
SRR28821687
SRR28821696
SRR28821713
SRR28821719
SRR28821720
SRR28821721
SRR28821725
SRR28821728
SRR28821731
SRR28821739
SRR28821742
SRR28821745
SRR28821754
SRR28821756
SRR28821762
SRR28821764
SRR28821765
SRR28821766
SRR28821768
SRR28821769
SRR28821775
SRR28821778
SRR28821781
SRR28821782
SRR28821784
SRR28821785
SRR28821786
SRR28821790
SRR28821791
SRR28821795
SRR28821810
SRR28821812
SRR28821813
SRR28821815
SRR28821817
SRR28821821
SRR28821822
SRR28821826
SRR28821827
SRR28821828
SRR28821831
SRR28821836
SRR28821837
SRR28821838
SRR28821839
SRR28821840
SRR28821841
SRR28821843
SRR28821845
SRR28821849
SRR28821852
SRR28821856
SRR28821861
SRR28821863
SRR28821868
SRR28821870
SRR28821871
SRR28821874
SRR28821875
SRR28821879
SRR28821883
SRR28821884
SRR28821885
SRR28821886
SRR28821891
SRR28821892
SRR28821893
SRR28821894
SRR28821897
SRR28821898
SRR28821899
SRR28821901
SRR28821902
SRR28821903
SRR28821904
SRR28821906
SRR28821909
SRR28821912
SRR28821916
SRR28821919
SRR28821922
SRR28821923
SRR28821924
SRR28821927
SRR28821930
SRR28821935
SRR28821942
SRR28821943
SRR28821944
SRR28821947
SRR28821948
SRR28821950
SRR28821951
SRR28821955
SRR28821963
SRR28821966
SRR28821967
SRR28821971
SRR28821973
SRR28821975
SRR28821976
SRR28821977
SRR28821981
SRR28821983
SRR28821990
SRR28821991
SRR28821992
SRR28821995
SRR28821996
SRR28822001
SRR28822002
SRR29093272
SRR29093281
SRR29093289
SRR29093297
SRR29093298
SRR29093311
SRR29093521
SRR29093553
SRR29093641
SRR29093645
SRR29093650
SRR29093679
SRR29093710
SRR29093988
SRR29094054
SRR29094093
SRR29096320
SRR29096338
SRR29096346
SRR29096482
SRR29096493
SRR29096523
SRR29096626
SRR29096701
SRR29096859
SRR29318486
SRR29341506
SRR30519414
SRR30519415
SRR30519416
SRR30519424
SRR30519427
SRR30519430
SRR30519436
SRR30519438
SRR30519440
SRR30519441
SRR30519442
SRR30519452
SRR30519454
SRR30519455
SRR30519458
SRR30519459
SRR30519462
SRR30519463
SRR30519464
SRR30519469
SRR30519470
SRR30519477
SRR30519481
SRR30519482
SRR30519485
SRR30519491
SRR30519497
